Semester,Year,Area,Course #,Course Title,Time,Location,Credits,Enroll Limits,Instructors,Section #,Waitlist,Curriculum Category,Notes,Delivery Mode
FA,2019,AHS,AHSE0112,AHSE0112: The Olin Conductorless Orchestra,T 7:30pm-9:00pm; R 6:30-9:00pm,AC318,1,26,"Dabby, Diana",01,"yes, small",AHS Elective,,
FA,2019,AHS,AHSE2170,AHSE2170: Teaching and Learning in Undergraduate Education,T 12:50-3:15pm; T 6:30pm-7:15pm,"CC209, 211
Crescent Room",4,15,"Zastavker, Yevgeniya; Burger, Jordyn",01,"yes, large",AHS Elective,,
FA,2019,AHS,AHSE2170,AHSE2170: Teaching and Learning in Undergraduate Education,T 12:50-3:15pm; W 6:30pm-7:15pm,"CC209, 211
Crescent Room",4,15,"Zastavker, Yevgeniya; Burger, Jordyn",02,"yes, large",AHS Elective,,
FA,2019,AHS,AHSE3130,AHSE3130: Advanced Digital Photography,TF 1:30-3:10pm,AC313,4,12,"Donis-Keller, Helen",01,"yes, small",AHS Elective,,
FA,2019,AHS,AHSE3190,"AHSE3190: Arts, Humanities, Social Science Prepstone",,,1,50,"Epstein, Gillian",01,,AHS Capstone Prereq,,
FA,2019,CAPSTONE,ENGR4190,ENGR4190: SCOPE: Senior Capstone Program in Engineering,W 9-6:00pm,varies,4,90,"Ferzoco, Alessandra; Hersey, Scott; Sarang- Sieminski, Alisha; Stein, Lynn",01,,CAPSTONE,,
FA,2019,CAPSTONE,ENGR4290,ENGR4290: Affordable Design and Entrepreneurship Engineering Capstone,T 3:30-6:30pm; R 3:30-5:30pm,Weissman Foundry,4,15,"Graeff, Erhardt; Hersey, Scott; Linder, Ben; Taha, Kofi, Johansen, Elizabeth",01,"yes, small",CAPSTONE,,
FA,2019,CAPSTONE,ENGR4599,ENGR4599: Entrepreneurial Engineering Capstone,W 1-5:30pm,AC318,4,by application only,"Harris, Scott; Woodard, Jason",01,,Capstone,"Interested Students should see Scott Harris and/or Jason
Woodard",
FA,2019,DSN,ENGR2299,ENGR2299:  Special Topics in Design Engineering:  Creativity Practicum,"M 1:30-4:10pm; R 1:30-
3:10pm",AC309,4,24,"Ferguson Sauder, Tim; Hendren, Sara",01,"yes, small","Elective (can be taken
before UOCD)",,
FA,2019,DSN,ENGR3220,ENGR3220: User Experience Design,TF 1:30-3:10pm,AC213,4,28,"Millner, Amon",01,"yes, small",DSN Depth,,
FA,2019,DSN,ENGR3240,ENGR3240: Tell the Story of What you Make,MR 9:50-12:30pm,AC309,4,25,"Ferguson Sauder, Tim",01,"yes, small",DSN Depth,,
FA,2019,DSN,ENGR3260,ENGR3260: Design for Manufacturing,TF 10:50-12:30pm,AC128,4,20,"Barrett, Dave; Faas, Daniela",01,"yes, large",ME Elective Design Depth,"Student must elect lab A OR B, not both along with the standard
TF 10:50-12:30pm time",
FA,2019,DSN,ENGR3260 L,Design for Manufacturing LAB,"Lab A: M 1:30-4:10pm
Lab B: Tues 1:30-4:10pm",Machine Shop,0,10 in each Lab,"Barrett, Dave; Faas, Daniela",A B,"yes, large",,"Student must elect lab A OR B, not both along with the standard
TF 10:50-12:30pm time",
FA,2019,DSN,ENGR3290,ENGR3290: Affordable Design and Entrepreneurship,T 3:30-6:30pm; R 3:30-5:30pm,Weissman Foundry,4,15,"Graeff, Erhardt; Hersey, Scott; Linder, Ben; Taha, Kofi, Johansen, Elizabeth",01,"yes, large",DSN Depth,,
FA,2019,DSN,ENGR3299,ENGR3299: Special Topics in Engineering Design: Introduction to Immersive Experience Design,TF 9-12:30pm,AC326,4,28,"Pearson, Tom",01,"yes, small",Design Depth,,
FA,2019,E:C,ENGR2510,ENGR2510: Software Design,TF 1:30-3:10pm,AC318,4,24,"Hill, Benjamin",01,"yes, small",E:C Requirement and ECE Requirement,,
FA,2019,E:C,ENGR3520,ENGR3520: Foundations of Computer Science,T 3:20-5:50pm,AC326,4,32,"Pucella, Riccardo",01,"yes, small",E:C Requirement,,
FA,2019,E:C,ENGR3540,ENGR3540: Complexity Science,TF 10:50-12:30pm,AC417,4,30,"Downey, Allen",01,"yes, small",E:C Elective,,
FA,2019,ECE,ENGR3410,ENGR3410: Computer Architecture,TF 9-10:40am,AC304,4,32,"Hill, Benjamin",01,"yes, small","ECE Requirement and
E:C Elective",,
FA,2019,ECE,ENGR3420,ENGR3420: Introduction to Analog and Digital Communication,MR 10:50-12:30pm,AC304,4,24,"Govindasamy, Siddhartan",01,"yes, small",,,
FA,2019,ENGR,ENGR1330,ENGR1330: Fundamentals of Machine Shop Operations,W 1-5:00pm,Machine Shop,4,6,"Andruskiewicz, Bruce",01,"yes, small",Elective,,
FA,2019,ENGR,ENGR2110,ENGR2110: Principles of Engineering,TF 9-10:40am,AC306,4,25,"Govindasamy, Siddhartan; Hoover, Aaron; Millner, Amon; Reifel, Stan",01,"yes, small",Engineering Foundation,,
FA,2019,ENGR,ENGR2110,ENGR2110: Principles of Engineering,TF 9-10:40am,AC309,4,25,"Govindasamy, Siddhartan; Hoover, Aaron; Millner, Amon; Reifel, Stan",02,"yes, small",Engineering Foundation,,
FA,2019,ENGR,ENGR2110,ENGR2110: Principles of Engineering,TF 10:50-12:30pm,AC306,4,25,"Govindasamy, Siddhartan; Hoover, Aaron; Millner, Amon; Reifel, Stan",03,"yes, small",Engineering Foundation,,
FA,2019,ENGR,ENGR2110,ENGR2110: Principles of Engineering,TF 10:50-12:30pm,AC309,4,25,"Govindasamy, Siddhartan; Hoover, Aaron; Millner, Amon; Reifel, Stan",04,"yes, small",Engineering Foundation,,
FA,2019,ENGR,ENGR2199,ENGR2199: Special Topics in Engineering: Small Satellite Lab I,MR 3:20-5:30pm,AC304,4,18,"Lee, Chris",01,"yes, small",Elective,,
FA,2019,ENGR,ENGR3199,ENGR3199: Special Topics in Engineering:  Renewable Energy,TF 10:50-12:30pm,AC304,4,28,"Vanasupa, Linda",01,"yes, large",ECE Elective ME Elective,Prerequisite: successful completion of all first year courses,
