Area,Course #,Sec #,Course Title,Instructor,Credits,Time,Location,Enroll Limits,Notes
AHS,AHSE 0112,01,The Olin Conductorless Orchestra,Dabby,1,R 6:45-9:00p,"AC304, 305,
318",25,
AHS,AHSE 2170,01,Teaching & Learning in Undergraduate Science and Engineering,Zastavker,4,M 10:50-1:30p,AC128,18,
AHS,AHSE 3130,01,Advanced Digital Photography,Donis-Keller,4,TF 10:50-12:30p,AC313,15,
AHS,AHSE 3190,01,"Arts, Humanities, Social Sciences Capstone Preparatory Workshop",Epstein,1,n/a,n/a,20,required pre-requisite for AHSE4190
AHS,AHSE 4190,01,"Arts, Humanities, Social Sciences Capstone",Adler,4,T 1:30-4:10p,CC214,25,
DSN,ENGR 3220,01,Human Factors Interface Design,Stein; Millner,4,TF 9:40-12:30p,AC109,24,Waitlist AVAILABLE
DSN,ENGR 3250,01,Integrated Product Design,Linder,4,R 3:30-6:30p,AC213,18,new description in the registration booklet
DSN,ENGR 3290,01,Affordable Design and Entrepreneurship,Linder,4,T 3:30-6:30p,AC213,12,DESIGN Depth Offering
DSN,ENGR 3710,01,Systems,Bennett,4,TF 1:30-3:10p,AC328,25,
E!,AHSE 1515,01,Products and Markets,Neeley; Hopper,4,MWR 9-10:40a,AC318,28,"Arrangements will be made for Seniors Needing to Enroll with the Wednesday time
conflict"
E!,AHSE 3510,01,New Technology Ventures,Brand,4,TR 4-5:35pm,AC128,15,
E!,AHSE 4590,01,Entrepreneurship Capstone,Brand,4,MR 1:30-3:10p,AC313,15,
E:BE,ENGR 3600,01,Topics in Bioengineering,Sarang-Sieminski,4,MR 10:50-12:30p,AC318,25,EXPERIMENTAL GRADING
E:C,ENGR 2510,01,Software Design,Millner,4,TF 1:30-3:10p,AC326,30,
E:C,ENGR 3599,01,Special Topics in Computing: Computational Signal Processing,Downey,2,TF 10:50-12:30p,AC126,30,SESSION II; EXPERIMENTAL GRADING
E:C,ENGR 3599A,01,Special Topics in Computing: A Computational Introduction to Robotics,Ruvolo,4,TF 1:30-3:10p,AC128,18,see registration booklet for specifics of this new offering and changes to the E:Robo concentration; WAITLIST Available
E:C,ENGR 3599A,02,Special Topics in Computing: A Computational Introduction to Robotics,Ruvolo,4,MR 1:30-3:10p,AC128,18,see registration booklet for specifics of this new offering and changes to the E:Robo concentration; WAITLIST Available
E:C,ENGR 3599B,01,Special Topics in Computing: Game Programming,Pucella,4,TF 1:30-3:10p,AC126,30,
ECE,ENGR 3410,01,Computer Architecture,VanWyk,4,MR 10:50-12:30p,AC328,40,
