Course #,Sect #,Course Title,Instructor / Teaching Team,Time,"Location: MAC
(unless noted
otherwise)",Credits,Enroll Limits,Waitlist,Notes,Curriculum Category,,
AHSE0112,01,AHSE0112: The Olin Conductorless Orchestra,"Dabby, Diana",R 6:00pm-8:40pm,"318
326",1,20,na,,AHS Elective,,
AHSE1100,01,AHSE1100: History of Technology: A Cultural & Contextual Approach,"Martello, Robert",TF 10:20am-12:00pm,326,4,18,na,open to class of 2026,AHS Foundation,,
AHSE1122,01,"AHSE1122: The Wired Ensemble -Instruments, Voices, Players","Dabby, Diana",TF 1:00-2:40pm,304,4,14,na,open to class of 2026,AHS Foundation,,
AHSE1155,01,AHSE1155: Identity from the Mind & the Brain: Who Am I   and How Do I Know,"Adler, Jonathan",TF 10:20am-12:00pm,318,4,18,na,"open to class of 2026
Cancelled",AHS Foundation,,
AHSE1155,02,AHSE1155: Identity from the Mind & the Brain: Who Am I and How Do I Know,"Adler, Jonathan",TF 1:00-2:40pm,318,4,18,na,open to class of 2026,AHS Foundation,,
AHSE1160,01,AHSE1160: Democracy and Media,"Graeff, Erhardt",TF 10:20am-12:00pm,328,4,20,5,open to class of 2026,AHS Foundation,,
AHSE1170,01,AHSE1170: Infrastructure Studies,"Chachra, Debbie",MR 1:00-2:40pm,318,4,24,na,open to class of 2026,AHS Foundation,,
AHSE2114,01,AHSE2114: Science Fiction and Historical Context,"Martello, Robert",MR 1:00-2:40pm,326,2,30,10,Session I,AHS Elective,,
AHSE2116,01,AHSE2116: Framing History through Comics,"Martello, Robert",MR 1:00-2:40pm,326,2,30,10,Session II,AHS Elective,,
AHSE2135,01,AHSE2135: Digital Photography: Seeing is Believing,"Donis-Keller, Helen",TF 1:00-2:40pm,313,4,16,3,,AHS Elective,,
AHSE2199,01,"AHSE2199: Special Topics in Arts, Humanities, Social Sciences: Contemplating Education","Zastavker, Yevgeniya",MR 1:00-2:40pm,304,4,18,5,,AHE Elective,,
AHSE2199A,01,"AHSE2199A: Special Topics in Arts, Humanities, Social Sciences: The Craft of Nonfiction","Hendren, Sara",T 6:00-8:40pm,326,4,20,5,Tentative based on Enrollment,AHS Elective,,
AHSE2199B,01,"AHSE2199B: Special Topics in Arts, Humanities, Social Sciences: Understanding Institutions: Creating Change at Olin and in the World","Lynch, Caitrin; Somerville, Mark",T 2:50-5:30pm,126,2,18,na,"Seats in the class will be reserved for 6 sophomores, 6 juniors, and 6 seniors.",AHSE Elective,,
AHSE2515,01,AHSE2515: Iterate,"Ger, Donald",M 2:50-5:30pm,328,4,16,10,Full Semester,ENTRP Concentration,,
AHSE3190,01,AHSE3190: AHS Prepstone,"Epstein, Gillian",na,na,1,10,5,,AHS Prereq Cap,,
CIE2223,01,CIE2223: Curricular Innovation Experiment: To  Cradle2cradle or not? ,"Vanasupa, Linda",TR 6:00-8:40pm,409,4,10,5,course changed - see CIE2223: CIE: Just Energy!,,"Intro Sust; ENGR, SCI",
,,,,,,,,,,,or MatSci,
,,,,,,,,,,,,
CIE2223,01,CIE2223: Curricular Innovation Experiment: Just Energy! Beginning Again,"Vanasupa, Linda",TR 6:00-8:40pm,417,4,30,5,,"E: Sust Core; AHS, ENGR, MatSci/Sci, ME Elective, ECE Elective",,
ENGR1200,"01-
03",ENGR1200: Design Nature,"Chachra, Debbie; Goenka, Chhavi; Sauder, Tim; Zastavker, Yevgeniya",MR 9:20am-12:00pm,"MH120 204
206
209
213",4,90,na,,Requirement - DesNat,,
ENGR1330,01,ENGR1330: Fundamentals of Machine Shop Operations,"Mulligan, John",W 1:00-5:00pm,MACHINE SHOP,4,6,20,,Elective,,
ENGR2110,01-02,ENGR2110: Principles Integrated Engineering,"Malley, Melinda; Mbanisi, Kene; Millner, Amon; Minch, Brad",MR 2:50-4:30pm,"306
309",4,28 per section,12,,Requirement - PIE,,
ENGR2110,03-04,ENGR2110: Principles Integrated Engineering,"Malley, Melinda; Mbanisi, Kene; Millner, Amon; Minch, Brad",TF 10:20am-12:00pm,"306
309",4,28 per section,12,`,Requirement - PIE,,
ENGR2299,01,ENGR2299: Specials Topics in Design: Introduction to Architecture and Urbanism: Public Space as Public Sphere,"Hendren, Sara",T 9:20am-12:00pm,417,4,20,5,,"Design (not design
depth)",,
ENGR2320,01,ENGR2320: Mechanics of Solids and Structures,"Lee, Chris",TWF 8:30-10:10am,328,4,48,na,Will also be offered in spring 2023,Core ME,,
ENGR2355,01,ENGR2355: Introduction to Thermodynamics,"Tow, Emily",TF 1:00-2:40pm,328,2,38,na,"See note in supplement re: ME curriculum;
Session I",ME Core Revision,,
ENGR2355,02,ENGR2355: Introduction to Thermodynamics,"Tow, Emily",TF 2:50-4:30pm,328,2,38,na,"See note in supplement re: ME curriculum;
Session I",ME Core Revision,,
ENGR2365,01,ENGR2365: Introduction to Transport Phenomena,"Tow, Emily",TF 1:00-2:40pm,328,2,38,na,"See note in supplement re: ME curriculum;
Session II",ME Core Revision,,
ENGR2365,02,ENGR2365: Introduction to Transport Phenomena,"Tow, Emily",TF 2:50-4:30pm,328,2,38,na,"See note in supplement re: ME curriculum;
Session II",ME Core Revision,,
ENGR2399,01,"ENGR2399: Special Topics in Mechanical Engineering:
Applied transport: measurement of flow and sedimentation","Ferzoco, Alessandra",TF 1:00-2:40pm,326,2,10,na,Session I,ME Core Requirement,,
ENGR3220,01,ENGR3220: User Experience Design,"Millner, Amon",MR 1:00-2:40pm,204,4,30,4,,DSN Depth,,
ENGR3240,01,ENGR3240: Tell the Story of What You Make,"Sauder, Tim",MR 2:50-5:30pm,417,4,25,5,,DSN Depth,,
ENGR3252,01,"ENGR3252: Technology, Accessibilty and Design","Goenka, Chhavi; Ruvolo, Paul",MR 2:50-5:10pm,318,4,24,10,,DSN Depth,,
ENGR3260,01,ENGR3260: Design for Manufacturing,"Barrett, Dave; Faas, Daniela",TF 2:50-4:30pm,128,4,20,15,"Student must elect lab A or B, along with the
standard TF 2:50-4:30pm","DSN Depth_ME
Elective",,
ENGR3260 L,A B,ENGR3260 L: Design for Manufacturing Lab,"Barrett, Dave; Faas, Daniela",Lab A: M 9:20am-12:00pm Lab B:T 9:20am-12:00pm,109,0,10 per lab,3,"Student must elect lab A or B, along with the
standard TF 2:50-4:30pm","DSN Depth_ME
Elective",,
ENGR3290,01,ENGR3290: Affordable Design and Entrepreneurship,"Graeff, Erhardt; Johansen, Elizabeth; Taha, Kofi",T 3:30-6:30pm R 3:30-5:30pm,Weissman Foundry,4,5,25,,DSN Depth,,
ENGR3330,01,ENGR3330: Mechanical Design,"Barrett, Dave; Faas, Daniela",MR 1:00-2:40pm,328,4,25,10,,Core ME,,
ENGR3345,01,ENGR3345: Mechanical and Aerospace Systems,"Lee, Chris",MR 10:20am-12:00pm,328,4,25,10,,ME Elective,,
