Course #,Sect #,Course Title,Instructor / Teaching Team,Time,"Location: MAC
(unless noted
otherwise)",Credits,Enroll Limits,Waitlist,Notes,Curriculum Category
AHSE0112,01,AHSE0112: The Olin Conductorless Orchestra,"Dabby, Diana",R 6:00pm-8:40pm,"318
326",1,20,na,,AHS Elective
AHSE1122,01,"AHSE1122: The Wired Ensemble -Instruments, Voices, Players","Dabby, Diana",TF 2:50pm-4:30pm,304,4,18,na,open to class of 2027,AHS Foundation
AHSE1155,01,AHSE1155: Identity from the Mind & the Brain: Who Am I and How Do I Know,"Adler, Jonathan",TF 1:00-2:40pm,417,4,18,na,open to class of 2027,AHS Foundation
AHSE1155,02,AHSE1155: Identity from the Mind & the Brain: Who Am I and How Do I Know,"Adler, Jonathan",TF 2:50pm-4:30pm,417,4,18,na,open to class of 2027,AHS Foundation
AHSE1160,01,AHSE1160: Democracy and Media,"Graeff, Erhardt",TF 1:00pm-2:40pm,326,4,20,5,open to class of 2027,AHS Foundation
AHSE1199,01,AHSE1199: AHS Foundation: Introduction to Creative Writing,"Basu Sempere, Anindita",TF 2:50pm-4:30pm,326,4,18,5,open to class of 2027,AHS Foundation
AHSE1199A,01,"AHSE1199: AHS Foundation: Environment, Technology, & Society: Just Relations and Transformative Futures","Horgan, Leah",TF 1:00pm-2:40pm,128,4,18,5,open to class of 2027,AHS Foundation
AHSE2135,01,AHSE2135: Digital Photography: Seeing is Believing,"Donis-Keller, Helen",TF 1:00-2:40pm,313,4,20,5,tentative based on enrollment,AHS Elective
AHSE2170,01,AHSE2170: Teaching and Learning,"Zastavker, Yevgeniya",M 1:00-3:30pm T 1:00-2:40pm,318,4,18,5,Experimental Grading,AHS Elective
AHSE2199A_o r_SCI1299,01,"AHSE2199A: Special Topics in Arts, Humanities and Social Science: Agency, Ethics and Biological Sciences","Huang, Jean",Lect: TF 1:00pm-2:40pm Lab: W 2:50pm-4:30pm,TF @Wellesley Wed @Olin MAC406,4,4,5,"Cross-Listed; Joint course with Wellesley. Lectures taught on Wellesley campus.
Lab taught on Olin campus
Register for AHSE2199A for AHS credit
Register for SCI1299 for BIO credit",AHS Elective
AHSE2199B,01,"AHSE2199B: Special Topics in Arts, Humanities and Social Science: Artificial Intelligence and Society","Dean, Victoria; Ruvolo, Paul",W 1:00pm-4:00pm,126,4,15,5,,AHS Elective
AHSE2515,01,AHSE2515: Iterate,"Neeley, Lawrence",TF 1:00-2:40pm,113,4,20,10,"Full semester;
not being offered in spring 2024",ENTRP Concentration
AHSE3190,01,AHSE3190: AHS Prepstone,"Epstein, Gillian",na,na,1,10,5,,AHS Prereq Cap
Course #,Sect #,Course Title,Instructor / Teaching Team,Time,"Location: MAC
(unless noted
otherwise)",Credits,Enroll Limits,Waitlist,Notes,Curriculum Category
ENGR1200,"01-
04",ENGR1200: Design Nature,"Linder, Ben; Majluf, Francesca; Townsend, Jessica; van de Zande, Georgia; Zastavker, Yevgeniya",TF 9:20am-12:00pm,"MH120 204
206
209
213",4,100,na,,Requirement - DesNat
ENGR1330,01,ENGR1330: Fundamentals of Machine Shop Operations,"Mulligan, John",W 10:20am-12:00pm W 1:00pm-3:30pm,MACHINE SHOP,4,6,20,,Elective
ENGR2110,01,ENGR2110: Principles Integrated Engineering,"Mbanisi, Kene; Minch, Brad",MR 1:00pm-2:40pm,309,4,30,10,,Requirement - PIE
ENGR2110,02,ENGR2110: Principles Integrated Engineering,"Mbanisi, Kene; Minch, Brad",MR 2:50pm-4:30pm,309,4,30,10,`,Requirement - PIE
ENGR2141_an d_AHSE2141,01,ENGR2141_and_AHSE2141: Engineering for Humanity,"Ben-Ur, Ela; Lynch, Caitrin",T 1:00pm-2:40pm F 12:00pm-2:40pm,228,2+2,20,10,Tentative based on Enrollment,"AHS and ENGR
Elective"
ENGR2299,01,ENGR2299: Special Topics in Interior Design: Thoughtful Objects: Form to Fire,"Linder, Benjamin",W 3:00pm-8:00pm,Mass Art,4,12,5,Collaboration with Mass Art; Transportation provided,Elective; E:Deign intermediate level
ENGR2299A,01,"ENGR2299A: Special Topics in Engineering Design:
Building Design for Climate Change Adaptation","Herning, Gordana; Rodgers, Claire",R 5:00pm-8:00pm,128,4,25,10,This does not satisfy a Design Depth,"Elective or part of
Design/Sust concentrations"
ENGR2360,01,ENGR2360: Introduction to Thermal-Fluid Systems,"Tow, Emily",MR 10:20am-12:00pm,328,4,42,10,,Core ME
ENGR3199,01,ENGR3199: Special Topics in Engineering: Community- Centered Creation of a Mobile App for Mental Health Equity,"Millner, Amon; Ruvolo, Paul",MR 1:00pm-2:40pm,113,4,8,3,,Elective
ENGR3220,01,ENGR3220: User Experience Design,"Millner, Amon",MR 10:20am-12:00pm,318,4,20,10,,DSN Depth
