Area,Course #,Sec #,Course Title,Instructor,Time,Location,Credits,Enroll Limits,Notes
AHS,AHSE 0112,01,The Olin Conductorless Orchestra,Dabby,R 6:45-9pm,"AC304, 305,
318",1,30,
AHS,AHSE 2199,01,"Special Topics in Arts, Humanities, Social Sciences: Eco- Docs: Environmental Activism in Documentary Cinema",Vitols,TF 9-10:40am,AC128,4,24,
AHS,AHSE 2199A,01,"Special Topics in Arts, Humanities, Social Sciences: Critical Reflective Writing",Zastavker Epstein,T 10:50-12:30pm,CC214,2,24,FULL Semester Offering
AHS,AHSE 2199B,01,"Special Topics in Arts, Humanities, Social Sciences:
Narrative Psychology",Adler,MR 11:10- 12:20pm,Wellesley College,4,5 Olin seats,At Wellesley. Enroll with permission of instructor.
AHS,AHSE 3100,01,Issues in Leadership and Ethics,"Miller, R.",R 6:00-8pm,AC326,2,8 Olin seats,
AHS,AHSE 3190,01,"Arts, Humanities, Social Sciences Capstone Preparatory Workshop",Epstein,n/a,n/a,1,20,"Required if you plan on completing an AHS Capstone Project
(AHSE4190)"
AHS,AHSE 4190,01,"Arts, Humanities, Social Sciences Capstone",Epstein,M 9:10-10:40am,CC214,4,30,
AHS,AHSE 4190,02,"Arts, Humanities, Social Sciences Capstone",Epstein,M 10:50-12:20pm,CC214,4,30,
DSN,ENGR 2250,01,User Oriented Collaborative Design,Linder; Adler; Stein; Millner; Ben-Ur; Bator,MR 3:20-6pm,MH120; AC204,4,30,
DSN,ENGR 2250,02,User Oriented Collaborative Design,,MR 3:20-6pm,MH120; AC206,4,30,
DSN,ENGR 2250,03,User Oriented Collaborative Design,,MR 3:20-6pm,MH120; AC209,4,30,
DSN,ENGR 3260,01,Design for Manufacturing,Tong,TF 9-10:40am,AC309,4,25,Design Depth Option; WAITLIST Available
DSN,ENGR 3299,01,Special Topics in Design: Design of Energy Systems,Mechtenberg,TF 1:30-3:10pm,AC213,4,24,Design Depth Option
DSN / ENGR,ENGR 3290,01,Affordable Design and Entrepreneurship (as a Design Depth),Linder; Mechtenberg,T 3:30-6:30pm,AC213,4,15,Design Depth Option; WAITLIST Available
DSN / ENGR,ENGR 4290,01,Affordable Design and Entrepreneurship (as a Capstone),Linder; Mechtenberg,T 3:30-6:30pm,AC213,4,12,WAITLIST Available
E!,AHSE 1500,01,The Entrepreneurial Initiative,Neeley,MR 10:50- 12:30pm,AC328,4,30,
E!,AHSE 4590,01,Entrepreneurship Capstone,Brand,MR 9-10:40am,CC210,4,15,
E:BE,ENGR 3620,01,Cellular Bioengineering,Sarang- Sieminski,MR 10:50- 12:30pm,AC417,4,18,
E:C,ENGR 2510,01,Software Design,Ruvolo,MR 3:20-5pm,AC326,4,25,Small WAITLIST Available (5)
E:C,ENGR 2510,02,Software Design,Ruvolo,MR 1:30-3:10pm,AC326,4,25,Small WAITLIST Available (5)
E:C,ENGR 2599,01,Special Topics in Computing: Computer Networks,Morrow,MR 3:20-5pm,AC328,4,25,WAITLIST Available
