Area,Course #,Sect #,Course Title,Instructor / Teaching Team,Time,Delivery Mode,Location for Instr Delivery or Staging of Materials,Credits,Enroll Limits,Waitlist,Notes,Curriculum Category
AHS,AHSE0112,01,AHSE0112: The Olin Conductorless Orchestra: Building a Community of Practice,"Dabby, Diana",R 6:30-8:00pm,Fully Remote,NA,1,30,yes,,AHS
AHS,AHSE2112,01,AHSE2112: Six Books that Changed the World,"Martello, Rob",TR 2-3:30pm,Fully Remote,NA,2,75,yes,Session I; 2 credits,AHS
AHS,AHSE2114,01,AHSE2114: Science Fiction and Historical Context,"Martello, Rob",TR 2-3:30pm,Fully Remote,NA,2,75,yes,Session II; 2 credits,AHS
AHS,AHSE2199,01,"AHSE2199: Special Topics in Arts, Humanities and Social Science: Change the World: Personal Values, Global Impacts, and Making an Olin GCSP","Wood, Alison",MW 10-11:30am,Fully Remote,NA,4,75,yes,Experimental Grading,AHS Elective
AHS,AHSE2199A,01,"AHSE2199A: Special Topics in Arts, Humanities and Social Science: Contemplating Science","Zastavker, Yevgeniya; Venkatesh, Madhvi J.",TR 12-1:30pm,Fully Remote,NA,4,18,yes,"4 AHS elective credit;
Experimental Grading",ELECTIVE
AHS,AHSE2199B,01,"AHSE2199B: Special Topics in Arts, Humanities and Social Science: Context and Consequences","Lynch, Caitrin; Stein, Lynn; Wood, Alison;",F 10-11:30am,In Person,MAC 113,2,16,yes,"2 credits;
Experimental Grading",AHS Elective
AHS,AHSE3190,01,"AHSE3190: Arts, Humanities, Social Science Prepstone","Epstein, Gillian",N/A,Fully Remote,NA,1,25,yes,,AHS Cap
AHS,AHSE4190,01,AHSE4190: AHS Capstone Project,"Epstein, Gillian",MW 10-11:30am,Fully Remote,NA,4,25,yes,,AHS Cap
CAPSTONE,ENGR4190,01,ENGR4190: SCOPE: Senior Capstone Program in Engineering,"Ferzoco, Alessandra; Hersey, Scott; Sarang- Sieminski, Alisha; Stein, Lynn; Woodard, Jason",TR 8-10:00am F 12-5:00pm,Hybrid,CC Crescent Rooms,4,NA,NA,Students will be pre-enrolled based on Fall20 assignment,CAPSTONE
CAPSTONE,ENGR4290,01,ENGR4290: Affordable Design and Entrepreneurship CAPSTONE,"Graeff, Erhardt; Hersey, Scott; Johansen, Elizabeth; Linder, Ben; Taha, Kofi",T 3:30-6:30pm R 3:30-5:30pm,Hybrid,MAC 306/309,4,15,NA,,Capstone
Area,Course #,Sect #,Course Title,Instructor / Teaching Team,Time,Delivery Mode,Location for Instr Delivery or Staging of Materials,Credits,Enroll Limits,Waitlist,Notes,Curriculum Category
CAPSTONE,ENGR4599,01,ENGR4599: Engineering Capstone Alternative: Entreprene,"Harris, Scott; Miller, Scott",NA,NA,NA,4,NA,NA,,
