Area,Course #,Sect #,Course Title,Instructor / Teaching Team,Time,"Location: MAC
(unless noted
otherwise)",Credits,Enroll Limits,Waitlist,Notes,Curriculum Role
AHS,AHSE0112,01,AHSE0112: The Olin Conductorless Orchestra,"Dabby, Diana",R 6-8:40pm,"318
328",1,no cap,N/A,,AHS
AHS,AHSE2150_SC I1250,01,AHSE2150_SCI1250: Six Microbes that Changed the World with Laboratory,"Huang, Jean; Martello, Rob",MR 9:20am-12:00pm,"417
406",8,24,6,8 credit course,"AHS Elective & SCI -
Bio Foundatin"
AHS,AHSE2160_SC I1260,01,"AHSE2160_SCI1260: The Intersection of Biology, Art and Technology with Laboratory","Donis-Keller, Helen",TF 9:20am-12:00pm,"313
406",8,20,5,8 credit course,"AHS Elective & SCI -
Bio Foundatin"
AHS,AHSE2199,01,"AHSE2199: Special Topics in Arts, Humanities and Social Science: Writing Gets Real","Epstein, Gillian",TF 1:00pm-2:40pm,328,2,26,5,Session I,AHS
AHS,AHSE2199A,01,"AHSE2199A: Special Topics in Arts, Humanities and Social Science: Engineering in Context: History, Society, and the Environment","Martello, Rob",TF 10:20am-12:00pm,318,2 or 4,35,10,Students will have the choice to select 2 or 4 credits at time of registration,AHS Elective
AHS,AHSE2199B,01,"AHSE2199B: Special Topics in Arts, Humanities and Social Science: Real World Lessons in Creating Impact","Barabino, Gilda; Epstein, Gillian; Jentoft, Leif; Neeley, Lawrence",R 6-8:00pm,126,2,18,5,,AHS Elective
AHS,AHSE3190,01,"AHSE3190: Arts, Humanties, Social Science Capstone Preparatory Workshop","Epstein, Gillian",NA,N/A,1,N/A,N/A,,AHS
AHS,AHSE4190,01,AHSE4190: AHS Capstone Project,"Epstein, Gillian",M 2:50pm-5:30pm,Library,4,25,5,,AHS
CAPSTONE,ENGR4190,01,ENGR4190: SCOPE: Senior Capstone Program in Engineering,"Bloomer, Sarah; Ferzoco, Alessandra; Neeley, Lawrence; Stein, Lynn",W 8:30am-5:30pm F 8:30am-10:10am,Varied,4,90,N/A,Students will be pre-registered based on FA22 enrollment,CAPSTONE
CAPSTONE,ENGR4290,01,ENGR4290: Affordable Design and Entrepreneurship Engineering Capstone,"Graeff, Erhardt; Johansen, Elizabeth; Linder, Benjamin; Majluf, Francesca; Taha, Kofi",T 3:30-6:30pm R 3:30-5:30pm,Weissman Foundry,4,20,5,,CAPSTONE
