Area,Course #,Sect #,Course Title,Instructor / Teaching Team,Time,"Location: MAC
(unless noted otherwise)",Credits,Enroll Limits,Waitlist,Notes,Curriculum Role,,
AHS,AHSE0112,01,AHSE0112: The Olin Conductorless Orchestra,"Dabby, Diana",R 6-8:00pm,"318
326
328",1,no cap,N/A,,AHS,,
AHS,AHSE2112,01,AHSE2112: Six Books that Changed the World,"Martello, Rob",MR 12-1:30pm,126,2,28,5,Session II; 2 credits,AHS,,
AHS,AHSE2131,01,AHSE2131: Responsive Drawing and Visual Thinking,"Donis-Keller, Helen",TF 2-3:30pm,313,4,14,5,,AHS,,
AHS,AHSE2155,01,AHSE2155: Constructing and Performing the Self,"Adler, Jon",TR 11:30am-1:00pm,Babson Blackbox Theater,4,6,10,Joint course w Babson scheduled Tues/Thurs 11:30-1pm Blackbox theatre,AHS,,
AHS,AHSE2170,01,AHSE2170: Teaching and Learning in Undergraduate Science and Engineering,"Zastavker, Yevgeniya",T 2-5:00pm,417,4,14,5,,AHS,,
AHS,AHSE2199,01,"AHSE2199: Special Topics in Arts, Humanities, Social Science: Understand Your World: Pluralism, Paradigms, and Perspectives","Martello, Rob",MR 2-3:30pm,326,2,24,4,Session I; 2 credits; in the 'space of' GCSP; Experimental Grading,AHS,,
AHS,AHSE2199A,01,"AHSE2199A: Special Topics in Arts, Humanities, Social Science: Understand Your World: Society and Self","Wood, Alison",MR 2-3:30pm,326,2,25,10,"Session II; 2 credits; formerly ""Change the World"";
Experimental Grading",AHS,,
AHS,AHSE3190,01,"AHSE3190: Arts, Humanties, Social Science Capstone Preparatory Workshop","Epstein, Gillian",NA,N/A,1,N/A,N/A,,AHS,,
AHS,AHSE4190,01,AHSE4190: AHS Capstone Project,"Epstein, Gillian",M 9-11:30am,Library,4,25,N/A,,AHS,,
CAPSTONE,ENGR4190,01,ENGR4190: SCOPE: Senior Capstone Program in Engineering,"Ferzoco, Alessandra; Hersey, Scott; Townsend, Jessica; Woodard, Jason",W 9:00am-6:00pm F 8-10:00am,varied,4,90,N/A,Students will be pre-registered based on FA21 enrollment,CAPSTONE,,
CAPSTONE,ENGR4290,01,ENGR4290: Affordable Design and Entrepreneurship Engineering Capstone,"Graeff, Erhardt; Hersey, Scott; Johanson, Elizabeth; Linder, Ben; Taha, Kofi",T 3:30-6:30pm R 3:30-5:30pm,Weissman Foundry,4,15,N/A,,CAPSTONE,,
CAPSTONE,ENGR4599,01,ENGR4599: Engineering Capstone Alternative: Entrepeneurial Engineering Capstone,"Harris, Scott; Miller, Scott",W 1-5:00pm,304,4,N/A,N/A,Students will be pre-registered based on FA21 enrollment,CAPSTONE,,
DSN,ENGR2250,01-03,ENGR2250: Collaborative Design,"Bloomer, Sarah; Chachra, Deb; del Rosario, Zachary; Koff, Daniel;  Linder, Ben;
Zastavker, Yevgeniya",MR 12-2:30pm,"204
206
209
213",4,32,5,formerly UOCD,DESIGN Fnd,,
DSN,ENGR3210,01,ENGR3210: Sustainable Design,"Linder, Ben",MR 10-11:30am,213,4,30,15,,DESIGN Dpth,,
DSN,ENGR3220,01,ENGR3220: User Experience Design,"Morales, Marco",MR 6:30-8:00pm,113,4,32,10,,DESIGN Dpth,,
Area,Course #,Sect #,Course Title,Instructor / Teaching Team,Time,"Location: MAC
(unless noted otherwise)",Credits,Enroll Limits,Waitlist,Notes,Curriculum Role,,
DSN,ENGR3240,01,ENGR3240: Tell the Story of What You Make,"Ferguson Sauder, Tim",MR 12-2:30pm,417,4,25,10,,DESIGN Dpth,,
DSN,ENGR3290,01,ENGR3290: Affordable Design and Entrepreneurship,"Graeff, Erhardt; Hersey, Scott; Johanson, Elizabeth; Linder, Ben; Taha, Kofi",T 3:30-6:30pm R 3:30-5:30pm,Weissman Foundry,4,15,15,,DESIGN Dpth,,
E:C,ENGR2510,01-03,ENGR2510: Software Design,"Graeff, Erhardt; Matsumoto, Steve; Millner, Amon",MR 12-1:30pm,"318
326
328",4,24,15,,"Core E:C/Core
ECE",,
E:C,ENGR3520,01,ENGR3520: Foundations of Computer Science,"Pucella, Riccardo",M 4-7:00pm,328,4,30,5,,Core E:C,,
E:C,ENGR3525,01,ENGR3525: Software Systems,"Matsumoto, Steve",TF 10-11:30am,326,4,40,15,,Core E:C,,
E:C,ENGR3599,SL,ENGR3599-SL: Special Topics in Computing: Advanced Algorithms,"Downey, Allen (content advisor);
Lee, Audrey; Kuppusamy, Shirin; Swaminathan,
Shashank",MF 2:30-4:00pm,318,4,30,5,student led course,E:C ELECTIVE,,
E:ROBO,ENGR3390,01,ENGR3390: Fundamentals of Robotics,"Barrett, Dave",TF 10-11:30am,128,4,24,10,,Core E:Robo/ME Elective,,
E:ROBO,ENGR3392,01,ENGR3392: Robotics Systems Integration,"Malley, Melinda",TF 2-3:30pm,326,4,24,5,,Core E:Robo/ME Elective,,
ECE,ENGR2420,01,ENGR2420: Intro Microelectronic Circuits with laboratory,"Minch, Brad",TR 6:30-8:00pm T 4-5:30pm,309,4,30,5,,Core ECE,,
ECE,ENGR3440,01,ENGR3440: Principles of Wireless Communication,"Lohmeyer, Whitney",MW 6:30-8:00pm,306,4,no cap,10,,ECE Elective,,
ENGR,ENGR1330,01,ENGR1330: Fundamentals of Machine Shop Operations,"Andruskiewicz, Bruce",W 1-5:00pm,Machine Shop,4,6,6,,ELECTIVE,,
ENGR,ENGR2199D,01,ENGR2199D: Special Topics in Engineering: Adaptive  Recreation,"Dusek, Jeff",TF 10-11:30am,126,4,20,10,Cancelled,ELECTIVE,,
