,Course Title,freshman fall,freshman spring,sophomore fall,sophomore spring,junior fall,junior spring,senior fall,senior spring
AHSE0112,AHSE0112: The Olin Conductorless Orchestra,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AHSE1100,AHSE1100: History of Technology: A Cultural & Contextual Approach,-0.10696336994832274,-0.006539881305843334,-0.10197339491506119,-0.011281907864408691,-0.09746699643966815,-0.015564386456255408,-0.09339731130423949,-0.01943185169777735
AHSE1122,Wired Ensemble,0.894167845140597,0.005812617048743918,0.8941442314470113,0.005836230114645513,0.8941206190087773,0.005859841925228704,0.8940970078258281,0.005883452480560325
AHSE1135,"AHSE1135: The Digital Eye: Photography, Vision, and Visual Communication",1.4819080582190683e-06,6.5006808539528004e-06,2.3212105973500653e-06,5.80173707997462e-06,2.9032681706402288e-06,5.31701852143287e-06,3.3069259731952103e-06,4.980865472014438e-06
AHSE1145,The Human Connection,1.3227450982642304e-05,-3.132698502677247e-05,-3.5609727947707962e-06,-2.086455700139743e-05,-1.0081084607377178e-05,-1.680126902027267e-05,-1.2613297196988129e-05,-1.5223211883104347e-05
AHSE1148,AHSE1148: Dirt to Shirt: Global Garments in Context,0.14870149309751757,0.030993350641556644,0.08791349350967911,0.06038861208238411,0.07369882283399742,0.06726240236401929,0.07037486310858955,0.06886977003213865
AHSE1150,AHSE1150: What is 'I'?,0.05000666781522458,0.049986959998779945,0.050005550367143846,0.049988014086710324,0.050004556046795434,0.049988952028343824,0.05000367128716113,0.049989786621438465
AHSE1155,AHSE1155: Identity from the Mind & the Brain: Who Am I and How Do I Know,0.6834414333350782,0.016574372170347074,0.6834312183419098,0.01658458700704346,0.6834210036616831,0.01659480153080284,0.6834107892943886,0.016605015741634865
AHSE1160,AHSE1160: Democracy and Media,0.9197698262255724,0.07744400767900794,0.8455220063646952,0.14514716437901287,0.7837866256392514,0.2014408059030457,0.7324550546859643,0.24824769394931734
AHSE1170,AHSE1170: Infrastructure Studies,0.0687087931709471,0.06125865039300834,0.06634529340922718,0.06287234826634142,0.06524352861594253,0.06362458676140388,0.06472993192370582,0.0639752489038067
AHSE1199,"AHSE1199:  Arts, Humanities, Social Science Foundation: Democracy and Media",0.8474038327397033,0.0009352835783166258,0.8467778276414432,0.0015608257150367955,0.8461527481238801,0.0021854429555723254,0.8455285928184956,0.002809136667429657
AHSE1199A,"AHSE1199: AHS Foundation: Environment, Technology, & Society: Just Relations and Transformative Futures",0.4975521171587308,0.3287372312195184,0.3836093516847885,0.3657735453955297,0.3715709518615201,0.36968654466473705,0.3702990582954647,0.3700999649421451
AHSE1500,The Entrepreneurial Initiative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AHSE1515,AHSE1515: Products and Markets,1.0000000969903182,1.0000000646619374,1.0000000646619362,1.0000000646619362,1.0000000646619362,1.0000000646619362,1.0000000646619362,1.0000000646619362
AHSE2097/ENGR2097/MTH2097/SCI2097,"AHSE2097, ENGR2097, MTH2097, SCI2097:
Cross-disciplinary Research Methods",0.05000666781522458,0.049986959998779945,0.050005550367143846,0.049988014086710324,0.050004556046795434,0.049988952028343824,0.05000367128716113,0.049989786621438465
AHSE2112,AHSE2112: Six Books that Changed the World,-0.16521270009489958,-0.38148931922185014,-0.2675385190820171,-0.3275763766411199,-0.2959439147728061,-0.31261027637415567,-0.3038291827563624,-0.30845572374766106
AHSE2114,Science Fiction and Historical Context,0.16683894988749712,0.20739390735141594,0.22470049904124142,0.2320859861591804,0.23523769973437905,0.2365826751302421,0.2371566355401321,0.23740156979925267
